No.,name,gradyear
0,Addison Lin WANG,2021
1,Bo Wen ZHOU,2003
2,Da Cheng TAO,2006
3,Danny Hin Kwok TSANG,1989
4,David Kei Man YIP,2015
5,Dian ZHANG,2010
6,DIRK KUTSCHER,2003
7,Dou SHEN,2007
8,Feifei LI,2007
9,Felix Xin WANG,2018
10,Fu-Gee TSUNG,1997
11,Gareth John TYSON,2010
12,Guobiao HU,2020
13,Haijie HU,2007
14,Hang LI,1998
15,Hao LIU,2017
16,Hao WANG,2023
17,Hong XING,2016
18,Huamin QU,2004
19,Huangxun CHEN,2020
20,Hui XIONG,2005
21,Irene Man Chi Lo,1992
22,Jake Junjie ZHANG,2015
23,Jia LI,2021
24,Jian GUO,2011
25,Jiangchuan LIU,2003
26,Jie Ping YE,2005
27,Jing TANG,2018
28,Jing YUAN,2012
29,Junwei LIANG,2021
30,Kaishun WU,2011
31,Kang ZHANG,1990
32,Keyang TANG,2007
33,Lei CHEN,2005
34,Lei LI,2018
35,Li LIU,2019
36,Liang TAN,2019
37,Lionel Ming-Shuan NI,1980
38,Liuqing YANG,2004
39,Luwen YU,2021
40,Meihui ZHANG,2013
41,Mingming FAN,2019
42,Nan TANG,2008
43,Pan HUI,2008
44,Qian ZHANG,1999
45,Qiang YANG,1989
46,Qiong LUO,2002
47,RAUL GIANCARLO MARIA MASU,2022
48,Rui HU,2017
49,Sean Sihong XIE,2016
50,Shipeng LI,1996
51,Sung Hun KIM,2006
52,Tengfei CHANG,2018
53,Theodoros PAPATHEODOROU,2007
54,Tie-Yan LIU,2003
55,Varvara GULJAJEVA,2018
56,Vincent Kin Nang LAU,1998
57,Wei WANG,2004
58,Wei ZENG,2015
59,Wenjia WANG,2018
60,Xiang CHENG,2009
61,Xiao Fang ZHOU,1994
62,Xiaowen CHU,2003
63,Xiaoyu WANG,2012
64,Xinyi HUANG,2009
65,Yang YANG,2002
66,Ying CUI,2012
67,Ying SUN,2022
68,Yingcong CHEN,2020
69,Yuxuan LIANG,2023
70,Yuyu LUO,2023
71,Zeyi WEN,2015
72,Zeyu WANG,2022
73,Zhilu LAI,2018
74,Zijun GONG,2021
